property,url,status,title
--*,http://www.w3.org/TR/2015/CR-css-variables-1-20151203/#propdef-,CR,CSS Custom Properties for Cascading Variables Module Level 1
--*,https://drafts.csswg.org/css-variables/#propdef-,ED,CSS Custom Properties for Cascading Variables Module Level 1
align-content,https://drafts.csswg.org/css-align/#propdef-align-content,ED,CSS Box Alignment Module Level 3
align-content,https://drafts.csswg.org/css-flexbox-1/#propdef-align-content,ED,CSS Flexible Box Layout Module Level 1
align-content,https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-align-content,CR,CSS Flexible Box Layout Module Level 1
align-content,https://www.w3.org/TR/2018/WD-css-align-3-20181206/#propdef-align-content,WD,CSS Box Alignment Module Level 3
align-items,https://drafts.csswg.org/css-align/#propdef-align-items,ED,CSS Box Alignment Module Level 3
align-items,https://drafts.csswg.org/css-flexbox-1/#propdef-align-items,ED,CSS Flexible Box Layout Module Level 1
align-items,https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-align-items,CR,CSS Flexible Box Layout Module Level 1
align-items,https://www.w3.org/TR/2018/WD-css-align-3-20181206/#propdef-align-items,WD,CSS Box Alignment Module Level 3
align-self,https://drafts.csswg.org/css-align/#propdef-align-self,ED,CSS Box Alignment Module Level 3
align-self,https://drafts.csswg.org/css-flexbox-1/#propdef-align-self,ED,CSS Flexible Box Layout Module Level 1
align-self,https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-align-self,CR,CSS Flexible Box Layout Module Level 1
align-self,https://www.w3.org/TR/2018/WD-css-align-3-20181206/#propdef-align-self,WD,CSS Box Alignment Module Level 3
alignment-baseline,https://drafts.csswg.org/css-inline-3/#propdef-alignment-baseline,ED,CSS Inline Layout Module Level 3
alignment-baseline,https://www.w3.org/TR/2018/WD-css-inline-3-20180808/#propdef-alignment-baseline,WD,CSS Inline Layout Module Level 3
all,https://drafts.csswg.org/css-cascade-3/#propdef-all,ED,CSS Cascading and Inheritance Level 3
all,https://drafts.csswg.org/css-cascade/#propdef-all,ED,CSS Cascading and Inheritance Level 4
all,https://www.w3.org/TR/2018/CR-css-cascade-3-20180828/#propdef-all,CR,CSS Cascading and Inheritance Level 3
all,https://www.w3.org/TR/2018/CR-css-cascade-4-20180828/#propdef-all,CR,CSS Cascading and Inheritance Level 4
